"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/1998","2.321","2.220","2.435","2.150","601.62K","2.84%"
"01/01/1998","2.257","2.200","2.280","1.960","564.36K","-0.31%"
"12/01/1997","2.264","2.660","2.812","2.140","622.75K","-12.18%"
"11/01/1997","2.578","3.570","3.605","2.500","607.46K","-27.42%"
"10/01/1997","3.552","3.080","3.850","2.840","753.30K","15.25%"
"09/01/1997","3.082","2.700","3.480","2.620","721.25K","13.56%"
"08/01/1997","2.714","2.180","2.760","2.175","692.88K","24.67%"
"07/01/1997","2.177","2.130","2.225","2.051","454.07K","1.78%"
"06/01/1997","2.139","2.210","2.305","2.055","441.79K","-4.47%"
"05/01/1997","2.239","2.180","2.430","2.155","469.86K","2.52%"
"04/01/1997","2.184","1.929","2.210","1.850","393.84K","13.40%"
"03/01/1997","1.926","1.830","2.040","1.770","345.14K","5.77%"
"02/01/1997","1.821","2.295","2.520","1.680","371.58K","-23.65%"
"01/01/1997","2.385","2.750","3.840","2.380","503.02K","-13.49%"
"12/01/1996","2.757","3.370","4.600","2.613","436.87K","-21.16%"
"11/01/1996","3.497","2.720","4.050","2.530","393.27K","28.19%"
"10/01/1996","2.728","2.205","2.880","2.165","445.75K","23.22%"
"09/01/1996","2.214","1.860","2.240","1.735","358.28K","19.10%"
"08/01/1996","1.859","2.170","2.340","1.820","342.26K","-14.05%"
"07/01/1996","2.163","2.785","2.920","1.995","364.16K","-25.70%"
"06/01/1996","2.911","2.380","2.980","2.335","316.37K","20.99%"
"05/01/1996","2.406","2.220","2.455","2.115","252.49K","8.18%"
"04/01/1996","2.224","2.305","2.425","2.165","276.26K","-4.79%"
"03/01/1996","2.336","2.245","2.880","2.070","355.85K","4.47%"
"02/01/1996","2.236","2.660","2.900","2.160","348.18K","-15.88%"
"01/01/1996","2.658","2.750","3.100","1.925","498.69K","1.49%"
"12/01/1995","2.619","2.020","3.720","2.003","488.83K","29.78%"
"11/01/1995","2.018","1.865","2.285","1.818","336.56K","8.15%"
"10/01/1995","1.866","1.840","1.917","1.692","301.10K","6.63%"
